a	zach.	rel_ety	jpol	jang	jniem	mat	hist	geog	biol	fiz	che	tech	info	plas	pO	wf
10238	dobre	5	3	4	3	2	3	3	3	3	3	4		5	3	6
10142	dobre	6	3	3	2	2	2	3	3	2	2	3		3	3	4
10140	dobre	5	4	5	4	3	4	3	3	3	4	5		4	4	4
10133	wzorowe	5	5	5	5	3	4	3	4	3	3	5		5	4	3
10132	dobre	5	3	2	2	3	2	2	4	3	3	4		4	3	4
10120	dobre	6	4	4	3	4	3	3	4	3	4	4		5	4	4
10119	dobre	5	4	4	3	3	3	4	5	3	3	3		4	3	3
10118	wzorowe	5	4	5	5	5	4	5	4	4	5	5		5	4	
10117	wzorowe	5	5	5	5	5	6	5	5	5	5	5		6	4	5
10116	dobre	5	3	3	3	2	3	3	3	2	2	4		4	2	2
10115	wzorowe	5	5	4	5	4	5	5	4	4	5	5		5	5	6
10114	dobre	5	3	4	3	4	3	4	4	3	3	4		5	3	4
10112	dobre	5	3	3	3	3	3	3	3	3	3	4		5	4	4
10110	wzorowe	5	4	3	5	4	4	3	4	3	5	6		5	4	
10109	dobre	5	3	2	2	3	4	4	4	3	3	5		6	4	5
10106	wzorowe	4	4	5	4	3	4	3	2	3	2	5		4	4	5
10105	dobre	4	3	6	4	3	5	4	3	3	3	6		4	4	4
10103	poprawne	4	4	5	3	2	3	4	2	3	3	4		5	4	4
10099	wzorowe	5	3	4	4	3	5	4	3	3	4	5		5	4	4
10097	wzorowe	5	4	4	5	4	4	4	5	4	5	6		6	5	5
10096	poprawne	5	3	3	2	2	3	3	3	2	2	4		3	4	2
10094	wzorowe	5	4	4	4	4	3	5	3	4	4	5		5	4	5
10093	dobre	6	4	3	3	4	3	3	3	3	3	5		5	4	
10089	dobre	6	3	5	4	3	3	4	3	3	3	4		4	4	5
10088	wzorowe	4	4	4	4	3	5	5	4	3	4	5		5	4	4
10085	poprawne	3	3	5	3	3	4	4	3	3	4	4		5	4	5
10082	dobre	5	4	3	3	3	3	3	3	4	3	4		5	4	3
10081	wzorowe	5	3	3	3	4	3	3	3	3	5	6		6	4	4
10080	wzorowe	5	3	5	4	3	3	3	4	3	3	5		5	4	4
10077	wzorowe	5	3	5	4	3	3	3	3	3	3	5		5	4	4
10076	wzorowe	5	4	3	3	4	4	3	3	3	3	5		5	4	4
10074	wzorowe	5	5	4	4	4	4	4	4	4	5	5		5	4	
10068	wzorowe	5	4	5	5	4	3	4	3	3	4	4		5	4	4
10067	dobre	4	3	4	5	2	3	3	2	2	2	4		5	3	3
10064	wzorowe	5	4	3	4	5	4	5	5	3	4	5		5	3	4
10061	wzorowe	5	4	5	5	5	5	4	4	5	5	5		5	4	4
10060	dobre	5	3	4	4	4	3	4	4	4	3	5		5	3	
10057	wzorowe	6	5	4	4	4	3	3	4	4	5	5		5	3	5
10054	dobre	5	3	3	3	3	3	4	4	4	3	5		6	4	4
10053	dobre	5	4	2	2	4	2	3	3	2	3	4		5	3	3
10050	dobre	5	4	3	3	4	4	4	4	4	5	5		5	4	4
10047	wzorowe	5	4	5	3	3	3	3	3	3	4	5		6	4	3
10045	dobre	5	3	3	2	3	4	3	3	3	3	4		4	4	3
10044	wzorowe	5	3	6	5	4	3	5	3	4	4	5		5	4	3
10043	dobre	4	3	4	5	4	4	3	5	5	4	5		4	4	5
10037	wzorowe	5	4	5	5	3	3	3	4	3	3	5		5	4	3
10035	wzorowe	5	4	3	5	4	5	4	3	4	4	5		6	4	
10032	wzorowe	5	4	4	3	4	3	3	5	3	3	4		6	4	4
10029	wzorowe	5	4	5	5	4	3	5	4	4	5	5		6	4	5
10026	dobre	6	4	3	3	4	3	3	4	3	3	5		5	4	4
10025	wzorowe	6	5	5	4	5	5	4	4	4	5	5		5	4	5
10024	wzorowe	6	4	5	4	5	3	4	4	3	4	4		5	4	5
10022	wzorowe	-	4	3	4	3	5	4	3	5	4	6		6	4	4
10021	wzorowe	5	5	4	3	4	3	3	4	4	5	6		5	4	4
10020	wzorowe	5	4	4	5	4	3	4	3	4	4	5		6	5	3
10019	dobre	6	4	3	3	3	3	5	4	3	2	5		5	3	5
10018	wzorowe	4	3	3	4	3	4	5	3	5	5	5		6	4	4
10017	dobre	6	3	3	3	2	3	5	3	3	2	4		5	3	4
10016	dobre	6	3	3	4	3	3	3	3	2	3	5		6	4	5
10015	dobre	5	4	4	4	4	4	4	4	4	4	5		5	4	5
10013	wzorowe	5	3	3	4	4	4	4	4	4	3	5		5	4	5
10007	wzorowe	5	5	5	5	5	5	4	4	5	5	5		5	5	4
10006	wzorowe	5	4	5	3	3	4	3	3	3	4	5		4	4	5
10003	dobre	5	4	3	3	5	4	4	4	5	3	5		6	4	3
10002	wzorowe	5	5	5	3	4	4	5	3	4	3	6		6	3	4
10000	dobre	5	4	4	3	4	3	3	3	3	3	4		5	3	4
9998	wzorowe	4	4	4	5	3	4	4	3	5	5	5		6	3	5
9991	dobre	5	3	4	2	3	3	3	3	3	3	5		6	3	5
9990	wzorowe	6	5	5	5	4	5	5	4	5	5	6		6	5	
9989	dobre	5	3	3	2	3	3	4	4	4	4	3		4	3	3
9988	dobre	6	3	4	3	3	3	3	3	3	3	5		6	4	3
9986	poprawne	3	2	2	2	2	2	2	2	2	3	4		4	2	4
9987	dobre	5	4	4	4	3	4	3	4	3	3	4		5	3	
9985	dobre	5	3	4	3	3	4	4	3	3	3	4		4	3	4
9984	wzorowe	5	4	4	3	4	3	4	4	4	4	6		6	5	5
9982	dobre	4	4	4	3	3	3	4	3	3	3	5		5	4	5
9974	dobre	5	5	5	4	4	5	5	4	4	4	5		6	5	4
9967	dobre	-	3	3	2	3	2	3	3	3	3	4		4	3	4
9966	dobre	-	3	3	2	2	3	3	3	3	2	5		6	4	4
9963	wzorowe	5	3	3	5	4	3	4	3	3	4	5		5	4	4
9962	dobre	5	2	3	2	3	4	3	2	2	3	5		5	3	4
9961	wzorowe	6	5	5	5	4	5	3	4	4	4	5		5	4	5
9958	dobre	5	4	4	4	3	4	3	4	4	4	5		5	3	5
9956	wzorowe	5	4	5	4	4	4	3	3	3	4	5		5	4	3
9945	wzorowe	5	5	6	5	5	5	5	5	5	6	6		6	5	4
9943	dobre	5	4	4	3	4	4	4	3	3	5	5		5	5	5
9941	wzorowe	4	5	5	5	3	5	5	4	4	5	6		6	4	
9940	poprawne	5	3	4	4	3	3	5	3	3	3	4		5	3	4
9937	dobre	5	3	4	5	3	3	5	4	4	3	4		6	4	4
9934	dobre	6	4	2	2	3	4	5	3	3	3	4		6	3	3
9932	dobre	5	4	3	5	2	4	4	4	3	3	5		6	5	
9930	dobre	5	4	4	3	4	3	3	3	3	3	4		6	3	4
9929	dobre	6	3	3	3	3	3	5	4	3	2	4		5	3	4
9928	poprawne	5	3	3	2	3	4	3	3	3	4	4		6	4	4
9925	wzorowe	5	5	5	4	4	4	3	4	3	4	5		5	4	4
9924	dobre	5	4	4	4	3	4	5	4	3	3	5		6	4	5
9920	wzorowe	5	5	6	6	4	5	5	5	5	6	6		6	5	4
9918	dobre	3	3	4	5	3	4	5	3	3	3	5		5	3	4
9916	poprawne	3	3	4	4	3	4	3	3	4	3	5		5	4	4
9913	wzorowe	4	4	3	3	3	3	4	3	3	3	4		6	4	5
9912	wzorowe	5	4	4	5	4	3	4	4	4	4	5		5	4	4
9911	dobre	3	3	4	3	3	4	4	3	3	3	4		4	4	4
9910	wzorowe	4	4	4	5	4	4	4	3	4	4	4		5	5	6
9909	wzorowe	5	4	4	4	3	5	4	3	4	4	5		5	5	4
9907	wzorowe	6	3	4	4	4	3	4	3	3	4	5		6	4	4
9905	dobre	5	4	4	5	3	5	4	3	4	4	5		5	5	5
9903	dobre	5	3	3	2	4	3	4	3	4	3	4		4	3	5
9901	dobre	6	4	2	3	3	4	3	5	3	3	4		4	3	3
9899	dobre	5	3	4	5	4	3	5	4	4	3	6		5	4	4
9894	wzorowe	6	4	4	5	3	4	5	3	3	4	4		6	4	4
9893	wzorowe	5	3	4	4	3	3	4	4	3	3	5		6	5	5
9892	dobre	5	3	3	2	3	3	4	3	3	3	5		5	4	4
9891	wzorowe	6	5	4	4	3	5	4	3	4	5	5		6	4	4
9889	wzorowe	6	4	4	4	4	4	5	4	4	3	5		6	3	5
9888	wzorowe	6	4	4	5	4	4	5	4	5	5	5		5	4	4
9887	dobre	5	4	3	3	3	4	4	3	3	3	4		5	3	5
9885	dobre	5	4	4	4	3	3	3	3	3	3	3		4	4	4
9884	dobre	5	3	3	3	4	3	5	4	4	3	4		4	3	4
9883	dobre	5	4	4	3	3	2	3	3	2	3	4		4	4	3
9878	wzorowe	6	4	5	4	4	3	5	4	4	5	5		5	4	6
