Miasto	Kod_pocztowy
Aleksandrow Kujawski	53-614
Aleksandrow Kujawski	53-614
Aleksandrow Kujawski	53-614
Alwernia	27-938
Alwernia	27-938
Alwernia	27-938
Alwernia	27-938
Alwernia	27-938
Alwernia	27-938
Alwernia	27-938
Alwernia	27-938
Baborów	48-364
Baborów	48-364
Baborów	48-364
Barlinek	83-236
Barwinek	09-428
Barwinek	09-428
Bezledy	75-057
Bezledy	75-057
Bezledy	75-057
Bezledy	75-057
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bêdzin	69-501
Bia³a Podlaska	00-425
Bia³a Podlaska	00-425
Bia³a Podlaska	00-425
Bia³aszewo	56-545
Bia³aszewo	56-545
Bia³aszewo	56-545
Bia³ystok	54-632
Bia³ystok	54-632
Bia³ystok	54-632
Bia³ystok	54-632
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bielsk Podlaski	96-087
Bochnia	89-362
Bochnia	89-362
Bochnia	89-362
Bochnia	89-362
Bochnia	89-362
Bochnia	89-362
Bochnia	89-362
Bo¿ewo	94-896
Bo¿ewo	94-896
Bo¿ewo	94-896
Brañsk	29-325
Brañsk	29-325
Brañsk	29-325
Brañsk	29-325
Brzeg Dolny	14-287
Brzeg Dolny	14-287
Brzesko	96-703
Brzesko	96-703
Brzesko	96-703
Brzesko	96-703
Brzesko	96-703
Brzesko	96-703
Bydgoszcz	29-199
Bydgoszcz	29-199
Bydgoszcz	29-199
Bytom	80-339
Bytom	80-339
Bytom	80-339
Bytom	80-339
Bytom	80-339
Bytom	80-339
Bytom	80-339
Bytom	80-339
Bytom	80-339
Bytom	80-339
Bytom	80-339
Bytom	80-339
Chalupki	70-071
Chalupki	70-071
Chalupki	70-071
Chalupki	70-071
Chalupki	70-071
Chalupki	70-071
Che³m	37-997
Che³m	37-997
Che³m	37-997
Che³m	37-997
Che³m	37-997
Che³m	37-997
Che³m	37-997
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chorzów	97-545
Chy¿ne	76-235
Chy¿ne	76-235
Chy¿ne	76-235
Chy¿ne	76-235
Chy¿ne	76-235
Ciechanów	37-640
Ciechanów	37-640
Ciechanów	37-640
Ciechanów	37-640
Ciechanów	37-640
Ciechocinek	98-839
Ciechocinek	98-839
Ciechocinek	98-839
Ciechocinek	98-839
Cieszyn	68-101
Cieszyn	68-101
Cieszyn	68-101
